league,team,scope,cenario_lay,descricao,jogos,hit_rate,wilson_lo,wilson_hi,edge_vs_liga,confidence_weight,lay_score,flag_candidato,perde_3plus,perde_3plus_hi,ganha_3plus,ganha_3plus_hi,zero_zero,zero_zero_hi,sem_marcar,sem_marcar_hi,perde_sem_marcar,perde_sem_marcar_hi,vol_std_diff_golos,vol_std_total_golos,vol_std_pontos,vol_cv_golos_marcados
SC0,Hibernian,Total,Lay Vitória,Equipa vence o jogo,30,0.4,0.24590394326083398,0.5767994750172617,0.050000000000000044,0.0,3.2863353450309964,False,0.03333333333333333,0.16670751396958874,0.1,0.2562144131526662,0.1,0.2562144131526662,0.26666666666666666,0.44448302044311694,0.16666666666666666,0.33564705185680177,1.498517786199268,1.6669999666733315,1.2297244497131143,0.7500000000000001
SC0,Livingston,Total,Lay Empate,Jogo termina empatado,30,0.4,0.24590394326083398,0.5767994750172617,0.10000000000000003,0.0,3.2863353450309964,False,0.13333333333333333,0.2968168394441695,0.0,0.11351709139047801,0.06666666666666667,0.21323817721072086,0.3,0.47876121011660183,0.23333333333333334,0.40928672330324267,1.2892719737209144,1.6532795690182993,0.6708203932499369,0.8090281421925454
SC0,Rangers,Total,Lay Empate,Jogo termina empatado,30,0.4,0.24590394326083398,0.5767994750172617,0.10000000000000003,0.0,3.2863353450309964,False,0.0,0.11351709139047801,0.13333333333333333,0.2968168394441695,0.1,0.2562144131526662,0.13333333333333333,0.2968168394441695,0.03333333333333333,0.16670751396958874,1.3,1.520599297060939,1.0954451150103321,0.6815401979488211
SC0,Rangers,Total,Lay Clean Sheet,Equipa não sofre golos (clean sheet),30,0.4,0.24590394326083398,0.5767994750172617,0.11388888888888893,0.0,3.2863353450309964,False,0.0,0.11351709139047801,0.13333333333333333,0.2968168394441695,0.1,0.2562144131526662,0.13333333333333333,0.2968168394441695,0.03333333333333333,0.16670751396958874,1.3,1.520599297060939,1.0954451150103321,0.6815401979488211
SC0,St Mirren,Total,Lay BTTS,Ambas as equipas marcam,30,0.4,0.24590394326083398,0.5767994750172617,-0.10555555555555551,0.0,3.2863353450309964,False,0.06666666666666667,0.21323817721072086,0.0,0.11351709139047801,0.1,0.2562144131526662,0.4666666666666667,0.6385798671847496,0.36666666666666664,0.5448675356639506,1.4067298564006128,1.656301099840646,1.077032961426901,1.1511480256411937
SC0,Dundee,Total,Lay Cantos Over 10.5,Total de cantos Over 10.5,30,0.43333333333333335,0.27377237430615114,0.6080299045459127,-0.02777777777777779,0.0,3.1037611591959413,False,0.13333333333333333,0.2968168394441695,0.0,0.11351709139047801,0.06666666666666667,0.21323817721072086,0.43333333333333335,0.6080299045459127,0.36666666666666664,0.5448675356639506,1.5638272140986536,1.5380362660079103,1.236482466066094,1.0447828864968804
SC0,Dundee United,Total,Lay Empate,Jogo termina empatado,30,0.43333333333333335,0.27377237430615114,0.6080299045459127,0.13333333333333336,0.0,3.1037611591959413,False,0.1,0.2562144131526662,0.0,0.11351709139047801,0.06666666666666667,0.21323817721072086,0.3333333333333333,0.5122027418616973,0.26666666666666666,0.44448302044311694,1.5129074290546956,1.4313940369055926,1.1175369742826806,0.8388093395004858
SC0,Hearts,Total,Lay Cantos Over 10.5,Total de cantos Over 10.5,30,0.43333333333333335,0.27377237430615114,0.6080299045459127,-0.02777777777777779,0.0,3.1037611591959413,False,0.0,0.11351709139047801,0.13333333333333333,0.2968168394441695,0.03333333333333333,0.16670751396958874,0.13333333333333333,0.2968168394441695,0.1,0.2562144131526662,1.374772708486752,1.5849991237291654,1.22065556157337,0.5946009551438579
SC0,Kilmarnock,Total,Lay Over 3.5,Mais de 3.5 golos no jogo,30,0.43333333333333335,0.27377237430615114,0.6080299045459127,0.12777777777777777,0.0,3.1037611591959413,False,0.2,0.37306047381027446,0.03333333333333333,0.16670751396958874,0.06666666666666667,0.21323817721072086,0.26666666666666666,0.44448302044311694,0.2,0.37306047381027446,1.8138357147217055,1.6603212540549694,1.077032961426901,0.8576346483687822
SC0,Motherwell,Total,Lay BTTS,Ambas as equipas marcam,30,0.43333333333333335,0.27377237430615114,0.6080299045459127,-0.07222222222222219,0.0,3.1037611591959413,False,0.0,0.11351709139047801,0.1,0.2562144131526662,0.13333333333333333,0.2968168394441695,0.16666666666666666,0.33564705185680177,0.03333333333333333,0.16670751396958874,1.564892612574067,1.4966629547095764,1.2023125864580957,0.7154509446105349
